N,K,start,end,result
256,100,2340875673,2340982470,106797
256,100,2341002876,2341109632,106756
256,100,2341120629,2341227063,106434
512,100,2341272646,2341505920,233274
512,100,2341511088,2341724201,213113
512,100,2341742960,2341955762,212802
1024,100,2341974149,2342400148,425999
1024,100,2342406836,2342854278,447442
1024,100,2342892312,2343317886,425574
2048,100,2343335505,2344200581,865076
2048,100,2344212567,2345064056,851489
2048,100,2345131687,2345991738,860051
4096,100,2346021595,2347736446,1714851
4096,100,2347758869,2349480573,1721704
4096,100,2349612777,2351327737,1714960
8192,100,2351406032,2354870904,3464872
8192,100,2354913522,2358367868,3454346
8192,100,2358622789,2362061017,3438228
16384,100,2362173811,2369878003,7704192
16384,100,2369962822,2377583561,7620739
16384,100,2378135560,2385057830,6922270
32768,100,2385278936,2400532001,15253065
32768,100,2400717928,2416153426,15435498
32768,100,2417288586,2431052752,13764166
65536,100,2431488354,2462101114,30612760
65536,100,2462454045,2492959070,30505025
65536,100,2495123216,2522792759,27669543
131072,100,2523643753,2585563758,61920005
131072,100,2586239687,2647739281,61499594
131072,100,2652139411,2709029059,56889648
262144,100,2710913665,2833529856,122616191
262144,100,2834857458,2957528343,122670885
262144,100,2966391470,3091134334,124742864
524288,100,3094913688,3343386585,248472897
524288,100,3346083051,3592770007,246686956
524288,100,3611091678,3882881393,271789715
1048576,100,3890340507,87872560,492499349
1048576,100,93243459,576186068,482942609
1048576,100,617275010,1098720998,481445988
2097152,100,1112009427,2094452230,982442803
2097152,100,2105266050,3011854395,906588345
2097152,100,3082906928,4054034518,971127590
4194304,100,4081599387,1574159106,1787527015
4194304,100,1593956860,3380669173,1786712313
4194304,100,3521688881,1059008023,1832286438
8388608,100,1114227364,400966496,3581706428
8388608,100,443448760,4059183715,3615734955
8388608,100,66085648,1012307509,946221861
16777216,100,1125039255,3998659730,2873620475
16777216,100,4083677614,2697903567,2909193249
16777216,100,3402486971,2176483031,3068963356
33554432,100,2392386113,2392386133,20
33554432,100,2563641248,2563641268,20
33554432,100,4139845078,4139845097,19
